TABLE_DESC_ENG,UNIT1E,NOTE1E,SOURCE_ENG1,Year,Quarter,Region,Province,Education,SORT_ID,Education Detail,Sex,?????
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Surin,    Higher education,4,    Academic,Total,45276.7
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Surin,    Higher education,5,    Technical Education,Total,24538.37
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Surin,    Higher education,6,    Teacher Training,Total,23099.74
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Si Sa Ket,    Higher education,4,    Academic,Total,27446.86
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Si Sa Ket,    Higher education,5,    Technical Education,Total,14658.45
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Si Sa Ket,    Higher education,6,    Teacher Training,Total,25149.43
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Ubon Ratchathani,    Higher education,4,    Academic,Total,66225.79
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Ubon Ratchathani,    Higher education,5,    Technical Education,Total,33933.91
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Ubon Ratchathani,    Higher education,6,    Teacher Training,Total,13393.55
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Yasothon,    Higher education,4,    Academic,Total,12458.21
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Yasothon,    Higher education,5,    Technical Education,Total,10358.61
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Yasothon,    Higher education,6,    Teacher Training,Total,9395.09
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Chaiyaphum,    Higher education,4,    Academic,Total,30384.14
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Chaiyaphum,    Higher education,5,    Technical Education,Total,19915.67
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Chaiyaphum,    Higher education,6,    Teacher Training,Total,16044.95
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Amnat Charoen,    Higher education,4,    Academic,Total,8848.14
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Amnat Charoen,    Higher education,5,    Technical Education,Total,7304.94
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Amnat Charoen,    Higher education,6,    Teacher Training,Total,5309.82
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Bueng Kan,    Higher education,4,    Academic,Total,9091.49
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Bueng Kan,    Higher education,5,    Technical Education,Total,4308.47
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Bueng Kan,    Higher education,6,    Teacher Training,Total,4535.03
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Nong Bua Lam Phu,    Higher education,4,    Academic,Total,15173.86
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Nong Bua Lam Phu,    Higher education,5,    Technical Education,Total,8854.76
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Nong Bua Lam Phu,    Higher education,6,    Teacher Training,Total,5258.72
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Khon Kaen,    Higher education,4,    Academic,Total,80435.25
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Khon Kaen,    Higher education,5,    Technical Education,Total,68738.94
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Khon Kaen,    Higher education,6,    Teacher Training,Total,42547.11
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Udon Thani,    Higher education,4,    Academic,Total,35417.18
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Udon Thani,    Higher education,5,    Technical Education,Total,33495.05
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Udon Thani,    Higher education,6,    Teacher Training,Total,15135.5
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2017,Quarter 4,Northeastern  Region,Loei,    Higher education,4,    Academic,Total,20065.54
