province_id,province,Type of Construction,2014,2015,2016,2017,2018,2019,2020,2021,2022
48,Suphan Buri,Road,840,1398,,1949,376,359,0,2047,941
48,Suphan Buri,Bridge,,,,0,0,11,0,0,0
48,Suphan Buri,Dam,,,,0,120,0,525,0,0
48,Suphan Buri,Water drain,,,0,81,119,756,0,81,0
48,Suphan Buri,Others,2016,410,,0,0,0,0,0,0
48,Suphan Buri,Engineering construction measured in area,47967,6583,23,349,3165,6375,9859,12972,2721
48,Suphan Buri,Swimming pool,80,,,0,265,0,0,0,482
48,Suphan Buri,Petrol station (Oil/LPG/NGV),30,3147,23,0,51,4749,1107,0,102
48,Suphan Buri,Harbour,,,,0,0,0,0,0,0
48,Suphan Buri,Sport ground,5091,,,0,0,0,1690,0,0
