id,Province,Year,Student (persons),Student (thousands)
74,Mae Hong Son,2016,"60,711",60.711
74,Mae Hong Son,2017,"59,088",59.088
74,Mae Hong Son,2018,"63,920",63.92
74,Mae Hong Son,2019,"71,365",71.365
74,Mae Hong Son,2020,"63,604",63.604
74,Mae Hong Son,2021,"64,009",64.009
46,Maha Sarakham,2014,"232,343",232.343
46,Maha Sarakham,2015,"262,938",262.938
46,Maha Sarakham,2016,"296,910",296.91
46,Maha Sarakham,2017,"252,033",252.033
46,Maha Sarakham,2018,"326,042",326.042
46,Maha Sarakham,2019,"305,274",305.274
46,Maha Sarakham,2020,"334,331",334.331
46,Maha Sarakham,2021,"363,226",363.226
61,Mukdahan,2014,"105,229",105.229
61,Mukdahan,2015,"108,806",108.806
61,Mukdahan,2016,"107,075",107.075
61,Mukdahan,2017,"113,190",113.19
61,Mukdahan,2018,"122,113",122.113
61,Mukdahan,2019,"98,915",98.915
61,Mukdahan,2020,"123,091",123.091
61,Mukdahan,2021,"125,432",125.432
60,Nakhon Nayok,2014,"109,070",109.07
60,Nakhon Nayok,2015,"115,244",115.244
60,Nakhon Nayok,2016,"129,557",129.557
60,Nakhon Nayok,2017,"127,958",127.958
60,Nakhon Nayok,2018,"124,378",124.378
60,Nakhon Nayok,2019,"147,076",147.076
60,Nakhon Nayok,2020,"173,914",173.914
60,Nakhon Nayok,2021,"187,680",187.68
27,Nakhon Pathom,2014,"608,856",608.856
27,Nakhon Pathom,2015,"529,065",529.065
27,Nakhon Pathom,2016,"565,832",565.832
27,Nakhon Pathom,2017,"690,902",690.902
27,Nakhon Pathom,2018,"642,168",642.168
27,Nakhon Pathom,2019,"559,468",559.468
27,Nakhon Pathom,2020,"619,041",619.041
27,Nakhon Pathom,2021,"757,114",757.114
72,Nakhon Phanom,2014,"144,581",144.581
72,Nakhon Phanom,2015,"150,372",150.372
72,Nakhon Phanom,2016,"161,859",161.859
72,Nakhon Phanom,2017,"176,813",176.813
72,Nakhon Phanom,2018,"188,328",188.328
72,Nakhon Phanom,2019,"190,807",190.807
72,Nakhon Phanom,2020,"238,563",238.563
72,Nakhon Phanom,2021,"236,741",236.741
6,Nakhon Ratchasima,2014,"900,320",900.32
6,Nakhon Ratchasima,2015,"847,491",847.491
6,Nakhon Ratchasima,2016,"909,027",909.027
6,Nakhon Ratchasima,2017,"978,529",978.529
6,Nakhon Ratchasima,2018,"883,138",883.138
6,Nakhon Ratchasima,2019,"967,583",967.583
6,Nakhon Ratchasima,2020,"981,099",981.099
6,Nakhon Ratchasima,2021,"1,019,142",1019.142
2,Nakhon Sawan,2014,"304,116",304.116
2,Nakhon Sawan,2015,"333,097",333.097
2,Nakhon Sawan,2016,"391,896",391.896
2,Nakhon Sawan,2017,"373,446",373.446
2,Nakhon Sawan,2018,"432,941",432.941
2,Nakhon Sawan,2019,"477,226",477.226
2,Nakhon Sawan,2020,"497,195",497.195
2,Nakhon Sawan,2021,"476,171",476.171
59,Nakhon Si Thammarat,2014,"609,167",609.167
59,Nakhon Si Thammarat,2015,"712,225",712.225
59,Nakhon Si Thammarat,2016,"781,237",781.237
59,Nakhon Si Thammarat,2017,"800,860",800.86
